date	category	subcategory	q1_value	sends	cards
2026-08-01	Anniversary	anniversaryetc	anniv_anniversaryetc	39	19
2026-08-01	Anniversary	wedanniv_couple	anniv_wedanniv_couple	8	6
2026-08-01	Anniversary	ouranniversary_forher	anniv_ouranniversary_forher	5	1
2026-08-01	Anniversary	ouranniversary_forhim	anniv_ouranniversary_forhim	3	3
2026-08-01	Anniversary	wedanniv_family	anniv_wedanniv_family	1	1
2026-08-01	Anniversary	belated	anniv_belated	1	1
2026-08-01	Birthday	happybirthday	birth_happybirthday	447	57
2026-08-01	Birthday	fun	birth_fun	24	9
2026-08-01	Birthday	bronsis	birth_bronsis	15	8
2026-08-01	Birthday	sonanddaughter	birth_sonanddaughter	14	9
2026-08-01	Birthday	songs	birth_songs	11	6
2026-08-01	Birthday	blessings	birth_blessings	10	6
2026-08-01	Birthday	milestone	birth_milestone	8	4
2026-08-01	Birthday	flowers	birth_flowers	8	4
2026-08-01	Birthday	extfamily	birth_extfamily	7	4
2026-08-01	Birthday	friends	birth_friends	7	7
2026-08-01	Birthday	belated	birth_belated	5	4
2026-08-01	Birthday	kids	birth_kids	5	3
2026-08-01	Birthday	momndad	birth_momndad	4	3
2026-08-01	Birthday	hubbywife	birth_hubbywife	3	2
2026-08-01	Birthday	wishes	birth_wishes	3	2
2026-08-01	Birthday	balloons	birth_balloons	1	1
2026-08-01	Business & work	customers	bus_customers	1	1
2026-08-01	Business & work	retirement	bus_retirement	1	1
2026-08-01	Congratulations	newbaby	congrats_newbaby	3	3
2026-08-01	Congratulations	pregnancy	congrats_pregnancy	3	2
2026-08-01	Congratulations	foreveryone	congrats_foreveryone	2	2
2026-08-01	Congratulations	studentsandnewgrads	congrats_studentsandnewgrads	2	2
2026-08-01	Congratulations	retirement	congrats_retirement	2	2
2026-08-01	Cute	angels	cute_angels	3	1
2026-08-01	Cute	hugs	cute_hugs	1	1
2026-08-01	Events cards	eaug_girlfriendsday	eaug_girlfriendsday	58	7
2026-08-01	Events cards	eaug_friendshipday_happy	eaug_friendshipday_happy	57	13
