date	category	q1_prefix	surface	sends	cards	cards_all
2026-08-01	Anniversary	anniv	App	38	22	31
2026-08-01	Anniversary	anniv	Web & mobile web	19	13	31
2026-08-01	Birthday	birth	App	373	95	129
2026-08-01	Birthday	birth	Web & mobile web	199	65	129
2026-08-01	Business & work	bus	Web & mobile web	2	2	2
2026-08-01	Congratulations	congrats	Web & mobile web	8	7	11
2026-08-01	Congratulations	congrats	App	4	4	11
2026-08-01	Cute	cute	App	4	2	2
2026-08-01	Events cards	events	Web & mobile web	139	47	72
2026-08-01	Events cards	events	App	102	39	72
2026-08-01	Everyday greetings	gen	App	21	16	22
2026-08-01	Everyday greetings	gen	Web & mobile web	7	7	22
2026-08-01	Family & loved ones	fkt	App	3	3	3
2026-08-01	Flowers	flwr	App	1	1	1
2026-08-01	Friendship	friend	Web & mobile web	21	11	15
2026-08-01	Friendship	friend	App	7	6	15
2026-08-01	Inspirational & sympathy	insp	App	10	8	8
2026-08-01	Keeping in touch	intouch	App	6	1	1
2026-08-01	Love & romance	love	App	11	8	13
2026-08-01	Love & romance	love	Web & mobile web	8	6	13
2026-08-01	Pets	pet	App	2	2	2
2026-08-01	Pets	pet	Web & mobile web	1	1	2
2026-08-01	Thank you	thank	Web & mobile web	22	9	10
2026-08-01	Thank you	thank	App	8	3	10
2026-08-01	World languages	w	App	1	1	2
2026-08-01	World languages	w	Web & mobile web	1	1	2
2026-08-02	Anniversary	anniv	App	19	17	26
2026-08-02	Anniversary	anniv	Web & mobile web	16	13	26
2026-08-02	Birthday	birth	App	343	88	126
2026-08-02	Birthday	birth	Web & mobile web	201	76	126
2026-08-02	Congratulations	congrats	Web & mobile web	6	5	8
2026-08-02	Congratulations	congrats	App	5	3	8
2026-08-02	Cute	cute	App	1	1	1
2026-08-02	Events cards	events	App	106	39	54
2026-08-02	Events cards	events	Web & mobile web	61	28	54
2026-08-02	Everyday greetings	gen	App	33	18	24
2026-08-02	Everyday greetings	gen	Web & mobile web	7	7	24
2026-08-02	Family & loved ones	fkt	Web & mobile web	2	2	3
2026-08-02	Family & loved ones	fkt	App	1	1	3
2026-08-02	Flowers	flwr	App	7	4	5
2026-08-02	Flowers	flwr	Web & mobile web	1	1	5
2026-08-02	Friendship	friend	Web & mobile web	32	17	20
2026-08-02	Friendship	friend	App	9	5	20
2026-08-02	Inspirational & sympathy	insp	App	12	8	11
2026-08-02	Inspirational & sympathy	insp	Web & mobile web	7	4	11
2026-08-02	Keeping in touch	intouch	App	2	2	2
2026-08-02	Love & romance	love	App	18	14	19
2026-08-02	Love & romance	love	Web & mobile web	6	5	19
2026-08-02	Pets	pet	App	1	1	1
2026-08-02	Thank you	thank	Web & mobile web	31	9	15
2026-08-02	Thank you	thank	App	21	10	15
2026-08-02	World languages	w	App	8	3	4
2026-08-02	World languages	w	Web & mobile web	2	2	4
