date	surface	platform	sends
2026-08-01	App	Text	280
2026-08-01	App	More	177
2026-08-01	App	Whatsapp	116
2026-08-01	App	SMS	14
2026-08-01	App	Telegram	4
2026-08-01	Web & mobile web	Whatsapp	288
2026-08-01	Web & mobile web	SMS	94
2026-08-01	Web & mobile web	Telegram	43
2026-08-01	Web & mobile web	Facebook	31
2026-08-01	Web & mobile web	Skype	12
2026-08-02	App	Text	266
2026-08-02	App	More	174
2026-08-02	App	Whatsapp	127
2026-08-02	App	SMS	12
2026-08-02	App	Telegram	6
2026-08-02	App	Google_Plus_Post	1
2026-08-02	Web & mobile web	Whatsapp	228
2026-08-02	Web & mobile web	SMS	106
2026-08-02	Web & mobile web	Facebook	34
2026-08-02	Web & mobile web	Telegram	32
2026-08-02	Web & mobile web	Skype	13
2026-08-03	App	Text	238
2026-08-03	App	More	148
2026-08-03	App	Whatsapp	97
2026-08-03	App	SMS	9
2026-08-03	App	Telegram	2
2026-08-03	Web & mobile web	Whatsapp	145
2026-08-03	Web & mobile web	SMS	75
2026-08-03	Web & mobile web	Facebook	31
2026-08-03	Web & mobile web	Telegram	17
2026-08-03	Web & mobile web	Skype	3
2026-08-04	App	Text	268
2026-08-04	App	More	160
2026-08-04	App	Whatsapp	112
2026-08-04	App	Telegram	7
2026-08-04	App	SMS	7
2026-08-04	Web & mobile web	Whatsapp	135
2026-08-04	Web & mobile web	SMS	65
2026-08-04	Web & mobile web	Facebook	38
2026-08-04	Web & mobile web	Telegram	13
2026-08-05	App	Text	247
2026-08-05	App	More	131
2026-08-05	App	Whatsapp	93
2026-08-05	App	SMS	9
2026-08-05	App	Telegram	3
2026-08-05	Web & mobile web	Whatsapp	131
2026-08-05	Web & mobile web	SMS	63
2026-08-05	Web & mobile web	Facebook	43
2026-08-05	Web & mobile web	Telegram	22
2026-08-06	App	Text	245
2026-08-06	App	More	163
2026-08-06	App	Whatsapp	93
2026-08-06	App	SMS	4
2026-08-06	App	Telegram	2
2026-08-06	Web & mobile web	Whatsapp	131
2026-08-06	Web & mobile web	SMS	73
2026-08-06	Web & mobile web	Facebook	21
2026-08-06	Web & mobile web	Telegram	6
2026-08-07	App	Text	244
2026-08-07	App	More	179
2026-08-07	App	Whatsapp	79
2026-08-07	App	SMS	7
2026-08-07	App	Telegram	2
2026-08-07	Web & mobile web	Whatsapp	139
2026-08-07	Web & mobile web	SMS	78
2026-08-07	Web & mobile web	Facebook	18
2026-08-07	Web & mobile web	Telegram	14
2026-08-08	App	Text	292
2026-08-08	App	More	161
2026-08-08	App	Whatsapp	110
2026-08-08	App	SMS	7
2026-08-08	App	Telegram	6
2026-08-08	Web & mobile web	Whatsapp	118
2026-08-08	Web & mobile web	SMS	75
2026-08-08	Web & mobile web	Facebook	38
2026-08-08	Web & mobile web	Telegram	32
2026-08-09	App	Text	225
2026-08-09	App	More	165
2026-08-09	App	Whatsapp	92
2026-08-09	App	SMS	7
2026-08-09	App	Telegram	6
2026-08-09	Web & mobile web	Whatsapp	118
2026-08-09	Web & mobile web	SMS	56
2026-08-09	Web & mobile web	Facebook	30
2026-08-09	Web & mobile web	Telegram	12
2026-08-10	App	Text	290
2026-08-10	App	More	200
2026-08-10	App	Whatsapp	150
2026-08-10	App	Telegram	17
2026-08-10	App	SMS	8
2026-08-10	Web & mobile web	Whatsapp	138
2026-08-10	Web & mobile web	SMS	91
2026-08-10	Web & mobile web	Telegram	31
2026-08-10	Web & mobile web	Facebook	24
2026-08-11	App	Text	237
2026-08-11	App	More	155
2026-08-11	App	Whatsapp	105
2026-08-11	App	SMS	12
2026-08-11	App	Telegram	6
2026-08-11	Web & mobile web	Whatsapp	121
2026-08-11	Web & mobile web	SMS	83
2026-08-11	Web & mobile web	Facebook	28
2026-08-11	Web & mobile web	Telegram	19
